isbn13,authors,categories,thumbnail,description,published_year,average_rating,title_subtitle,tagged_desc,anger,disgust,fear,joy,neutral,sadness,surprise
9780313309335,James Craig Holte,Literary Criticism,http://books.google.com/books/content?id=mpmrWCQ1e3MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Wherever vampires existed in the imaginations of different peoples, they adapted themselves to the customs of the local culture. In The Vampyre (1819), John Polidori introduced Lord Ruthven and established the vampire craze of the 19th century that resulted in a flood of German vampire poetry, French vampire drama, and British vampire fiction. That tradition culminated in Bram Stoker's Dracula (1897), which fixed the character of the Transylvanian nobleman firmly in the public imagination. The contributors to this volume examine representations of the vampire in fiction, film, folklore, and popular culture. While some look at Stoker and the early literary vampire, others study the works of contemporary writers, such as Anne Rice and Chelsea Quinn Yarbro, vampirism as a metaphor for AIDS, and racial issues in such films as Blacula and Vampire in Brooklyn.",2002.0,0.0,The Fantastic Vampire:Studies in the Children of the Night : Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,"9780313309335 Wherever vampires existed in the imaginations of different peoples, they adapted themselves to the customs of the local culture. In The Vampyre (1819), John Polidori introduced Lord Ruthven and established the vampire craze of the 19th century that resulted in a flood of German vampire poetry, French vampire drama, and British vampire fiction. That tradition culminated in Bram Stoker's Dracula (1897), which fixed the character of the Transylvanian nobleman firmly in the public imagination. The contributors to this volume examine representations of the vampire in fiction, film, folklore, and popular culture. While some look at Stoker and the early literary vampire, others study the works of contemporary writers, such as Anne Rice and Chelsea Quinn Yarbro, vampirism as a metaphor for AIDS, and racial issues in such films as Blacula and Vampire in Brooklyn.",0.06413356214761734,0.11760932952165604,0.16969963908195496,0.11766994744539261,0.9419256448745728,0.11169012635946274,0.07876547425985336
9780020442608,Clive Staples Lewis,Juvenile Fiction,http://books.google.com/books/content?id=fDD3CfYb70cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The ""Dawn Treader"" is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Mizaz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World. Illustrations.",1970.0,4.09,The voyage of the Dawn Treader,"9780020442608 The ""Dawn Treader"" is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Mizaz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World. Illustrations.",0.23667699098587036,0.5366873145103455,0.1170717105269432,0.06317127496004105,0.92804354429245,0.11169012635946274,0.21030883491039276
9780719071157,Michael Cox;Adrian Guelke;Fiona Stephen,History,http://books.google.com/books/content?id=G5wuwrmrdWoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Neither naively optimistic nor hopelessley pessimistic, this collection of writings by experts on the history of the troubles in Northern Ireland paints a realistic picture of the peace processes that have dotted the province's landscape.",2006.0,4.33,"A Farewell to Arms?:Beyond the Good Friday Agreement, Second Edition","9780719071157 Neither naively optimistic nor hopelessley pessimistic, this collection of writings by experts on the history of the troubles in Northern Ireland paints a realistic picture of the peace processes that have dotted the province's landscape.",0.06413356214761734,0.1040065810084343,0.07285352796316147,0.04056438058614731,0.5494771003723145,0.8216857314109802,0.07876547425985336
9780373483372,Cait London,Fiction,http://books.google.com/books/content?id=Vn8lm_E-q8AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Everyone in Amen Flats is shocked when prim Elspeth Tallchief's secret lover shows up one day, drawing the attention of every single woman in town, but Elspeth knows that her other secret is even more shocking. Original.",1997.0,4.22,Tallchief for Keeps,"9780373483372 Everyone in Amen Flats is shocked when prim Elspeth Tallchief's secret lover shows up one day, drawing the attention of every single woman in town, but Elspeth knows that her other secret is even more shocking. Original.",0.06413356214761734,0.1040065810084343,0.05136275663971901,0.04056438058614731,0.9368456602096558,0.11169012635946274,0.9781959056854248
9781904633273,Louisa May Alcott,Family life,http://books.google.com/books/content?id=lH7BZwiYplEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Timeless in its evocation of idealised family life and robustly enduring, Little Women is recognised as one of the best-loved classic children's stories of all time. Originally written as a 'girls' story', its appeal transcends the boundaries of time and age, making it as popular with adults as it is with young readers. For this is a beguiling story of happiness and hope, of the joys of companionship, domestic harmony and infinite mother love, all seen through the life of the March family. But which of the four March sisters to love best? For every reader must have their favourite. Independent, tomboyish Jo; delicate, loving Beth; pretty, kind Meg, or precocious and beautiful Amy, the baby of the family? Little Women was an instant success when first published in 1868, and followed only a year later by the sequel, Little Wives.",2004.0,4.06,Little Women,"9781904633273 Timeless in its evocation of idealised family life and robustly enduring, Little Women is recognised as one of the best-loved classic children's stories of all time. Originally written as a 'girls' story', its appeal transcends the boundaries of time and age, making it as popular with adults as it is with young readers. For this is a beguiling story of happiness and hope, of the joys of companionship, domestic harmony and infinite mother love, all seen through the life of the March family. But which of the four March sisters to love best? For every reader must have their favourite. Independent, tomboyish Jo; delicate, loving Beth; pretty, kind Meg, or precocious and beautiful Amy, the baby of the family? Little Women was an instant success when first published in 1868, and followed only a year later by the sequel, Little Wives.",0.06413356214761734,0.1040065810084343,0.05136275663971901,0.9318848252296448,0.8859224319458008,0.11169012635946274,0.07876547425985336
9780821221877,Ansel Adams,Photography,http://books.google.com/books/content?id=BGFWGPFQg7oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Ansel Adams (1902-1984) produced some of the 20th century's most iconic photographic images and helped nurture the art of photography through his creative innovations and peerless technical mastery. The Print--the third volume in Adams' celebrated series of books on photographic techniques--has taught generations of photographers how to explore the artistic possibilities of printmaking. Examples of Adams' own work clarify the principles discussed. This classic handbook distills the knowledge gained through a lifetime in photography and remains as vital today as when it was first published. The Print takes you step-by-step--from designing and furnishing a darkroom to mounting and displaying your photographs, from making your first print to mastering advanced techniques, such as developer modifications, toning and bleaching, and burning and dodging. Filled with indispensable darkroom techniques and tips, this amply illustrated guide shows how printmaking--the culmination of photography's creative process--can be used expressively to enhance an image. ""Adams is a clear-thinking writer whose concepts cannot but help the serious photographer."" - New York Times ""A master-class kind of guide from an undisputed master."" - Publishers Weekly Over 1 million copies sold.",1995.0,4.37,The Print,"9780821221877 Ansel Adams (1902-1984) produced some of the 20th century's most iconic photographic images and helped nurture the art of photography through his creative innovations and peerless technical mastery. The Print--the third volume in Adams' celebrated series of books on photographic techniques--has taught generations of photographers how to explore the artistic possibilities of printmaking. Examples of Adams' own work clarify the principles discussed. This classic handbook distills the knowledge gained through a lifetime in photography and remains as vital today as when it was first published. The Print takes you step-by-step--from designing and furnishing a darkroom to mounting and displaying your photographs, from making your first print to mastering advanced techniques, such as developer modifications, toning and bleaching, and burning and dodging. Filled with indispensable darkroom techniques and tips, this amply illustrated guide shows how printmaking--the culmination of photography's creative process--can be used expressively to enhance an image. ""Adams is a clear-thinking writer whose concepts cannot but help the serious photographer."" - New York Times ""A master-class kind of guide from an undisputed master."" - Publishers Weekly Over 1 million copies sold.",0.3980664014816284,0.14627350866794586,0.2140331268310547,0.7303556799888611,0.9545621275901794,0.11169012635946274,0.3896830976009369
9780385333818,Kurt Vonnegut,Fiction,http://books.google.com/books/content?id=rEbuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Wampeters, Foma & Granfalloons (Opinions) is a rare opportunity to experience Kurt Vonnegut speaking in his own voice about his own life, his views of the world, his writing, and the writing of others. An indignant, outrageous, witty, deeply felt collection of reviews, essays, and speeches, this is a window not only into Vonnegut's mind but also into his heart.",2006.0,3.78,"Wampeters, Foma & Granfalloons (opinions)","9780385333818 Wampeters, Foma & Granfalloons (Opinions) is a rare opportunity to experience Kurt Vonnegut speaking in his own voice about his own life, his views of the world, his writing, and the writing of others. An indignant, outrageous, witty, deeply felt collection of reviews, essays, and speeches, this is a window not only into Vonnegut's mind but also into his heart.",0.9820885062217712,0.1040065810084343,0.05136275663971901,0.040791839361190796,0.7991626262664795,0.11169012635946274,0.12502098083496094
9780472064847,Lynn Keller;Cristanne Miller,Social Science,http://books.google.com/books/content?id=KADTtlj82WIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Explores the role of gender in poetic production, the tensions between poetry and contemporary literary theory, and the fluid boundaries between theoretical and literary writing.",1994.0,4.4,Feminist Measures:Soundings in Poetry and Theory,"9780472064847 Explores the role of gender in poetic production, the tensions between poetry and contemporary literary theory, and the fluid boundaries between theoretical and literary writing.",0.06413356214761734,0.1040065810084343,0.057953037321567535,0.04056438058614731,0.734353244304657,0.11169012635946274,0.07876547425985336
9780141002989,Ian Fleming,"Bond, James (Fictitious character)",http://books.google.com/books/content?id=uHKmcQZ4lxAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At M's request, Bond has gone up against Sir Hugo Drax at the card table, on a mission to teach the millionaire and head of the Moonraker project a lesson he won't forget, and prevent a scandal engulfing Britain's latest defence system. But there is more to the mysterious Drax than simply cheating at cards. And once Bond delves deeper into goings-on at the Moonraker base he discovers that both the project and its leader are something other than they pretend to be . . .",2002.0,3.73,Moonraker,"9780141002989 At M's request, Bond has gone up against Sir Hugo Drax at the card table, on a mission to teach the millionaire and head of the Moonraker project a lesson he won't forget, and prevent a scandal engulfing Britain's latest defence system. But there is more to the mysterious Drax than simply cheating at cards. And once Bond delves deeper into goings-on at the Moonraker base he discovers that both the project and its leader are something other than they pretend to be . . .",0.17247454822063446,0.17860111594200134,0.7027425765991211,0.04056438058614731,0.854978621006012,0.11169012635946274,0.09797987341880798
9780439405591,Kathryn Lasky,Juvenile Fiction,,"Soren has been reunited with this sister, Eglantine, but now he must deal with the mysterious disappearance of his mentor, Ezylryb, and in his attempt to save his teacher must fight a formidable foe.",2004.0,4.07,The Rescue,"9780439405591 Soren has been reunited with this sister, Eglantine, but now he must deal with the mysterious disappearance of his mentor, Ezylryb, and in his attempt to save his teacher must fight a formidable foe.",0.06413356214761734,0.1040065810084343,0.593427300453186,0.04056438058614731,0.5494771003723145,0.23773981630802155,0.07876547425985336
